,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
246245,WRL ,WRL,World,2020-02-19,75655.0,500.0,2125.0,115.0
246358,WRL ,WRL,World,2020-06-11,7531021.0,136192.0,458860.0,5142.0
246244,WRL ,WRL,World,2020-02-18,75155.0,1882.0,2010.0,140.0
246547,WRL ,WRL,World,2020-12-17,75121107.0,738596.0,1741168.0,13171.0
246546,WRL ,WRL,World,2020-12-16,74382511.0,717498.0,1727997.0,13924.0
246357,WRL ,WRL,World,2020-06-10,7394829.0,137190.0,453720.0,5428.0
246545,WRL ,WRL,World,2020-12-15,73665047.0,648514.0,1714073.0,13226.0
246243,WRL ,WRL,World,2020-02-17,73273.0,2035.0,1870.0,98.0
246544,WRL ,WRL,World,2020-12-14,73016533.0,551157.0,1700847.0,9193.0
246284,WRL ,WRL,World,2020-03-29,725815.0,56503.0,37679.0,3819.0
246356,WRL ,WRL,World,2020-06-09,7257639.0,125996.0,448292.0,5045.0
246543,WRL ,WRL,World,2020-12-13,72465376.0,538700.0,1691654.0,8257.0
246542,WRL ,WRL,World,2020-12-12,71926676.0,648586.0,1683397.0,10829.0
246355,WRL ,WRL,World,2020-06-08,7131643.0,103051.0,443247.0,4455.0
246541,WRL ,WRL,World,2020-12-11,71278090.0,705684.0,1672568.0,13185.0
246242,WRL ,WRL,World,2020-02-16,71238.0,2183.0,1772.0,104.0
246540,WRL ,WRL,World,2020-12-10,70572406.0,672113.0,1659383.0,12420.0
246354,WRL ,WRL,World,2020-06-07,7028592.0,111011.0,438792.0,3257.0
246353,WRL ,WRL,World,2020-06-06,6917581.0,129331.0,435535.0,4140.0
246539,WRL ,WRL,World,2020-12-09,69077070.0,665290.0,1646963.0,12557.0
246241,WRL ,WRL,World,2020-02-15,69055.0,2143.0,1668.0,143.0
246538,WRL ,WRL,World,2020-12-08,68411780.0,630526.0,1634406.0,12038.0
246352,WRL ,WRL,World,2020-06-05,6788250.0,133562.0,431395.0,5057.0
246537,WRL ,WRL,World,2020-12-07,67781254.0,534946.0,1622370.0,8844.0
246536,WRL ,WRL,World,2020-12-06,67246308.0,543831.0,1613526.0,8093.0
246283,WRL ,WRL,World,2020-03-28,669312.0,69564.0,33860.0,4049.0
246240,WRL ,WRL,World,2020-02-14,66912.0,6528.0,1525.0,152.0
246535,WRL ,WRL,World,2020-12-05,66702477.0,642229.0,1605433.0,10601.0
247306,WRL ,WRL,World,2023-01-15,666879519.0,195295.0,6723297.0,814.0
247305,WRL ,WRL,World,2023-01-14,666684224.0,220748.0,6722483.0,899.0
247304,WRL ,WRL,World,2023-01-13,666463476.0,440030.0,6721584.0,2860.0
247303,WRL ,WRL,World,2023-01-12,666023446.0,475419.0,6718724.0,4174.0
247302,WRL ,WRL,World,2023-01-11,665548027.0,504602.0,6714551.0,3138.0
246351,WRL ,WRL,World,2020-06-04,6654688.0,138326.0,426338.0,5527.0
247301,WRL ,WRL,World,2023-01-10,665043425.0,422251.0,6711413.0,3321.0
247300,WRL ,WRL,World,2023-01-09,664621439.0,361255.0,6708173.0,2061.0
247299,WRL ,WRL,World,2023-01-08,664260184.0,318273.0,6706188.0,866.0
247298,WRL ,WRL,World,2023-01-07,663941911.0,360290.0,6705322.0,825.0
247297,WRL ,WRL,World,2023-01-06,663581621.0,717865.0,6704497.0,3000.0
247296,WRL ,WRL,World,2023-01-05,662863756.0,734105.0,6701497.0,3576.0
247295,WRL ,WRL,World,2023-01-04,662129651.0,569404.0,6698003.0,2777.0
